date,sales
1/1/2013,13
1/2/2013,11
1/3/2013,14
1/4/2013,13
1/5/2013,10
1/6/2013,12
1/7/2013,10
1/8/2013,9
1/9/2013,12
1/10/2013,9
1/11/2013,9
1/12/2013,7
1/13/2013,10
1/14/2013,12
1/15/2013,5
1/16/2013,7
1/17/2013,16
1/18/2013,7
1/19/2013,18
1/20/2013,15
1/21/2013,8
1/22/2013,7
1/23/2013,9
1/24/2013,8
1/25/2013,14
1/26/2013,12
1/27/2013,12
1/28/2013,11
1/29/2013,6
1/30/2013,9
1/31/2013,13
2/1/2013,11
2/2/2013,21
2/3/2013,15
2/4/2013,14
2/5/2013,9
2/6/2013,10
2/7/2013,13
2/8/2013,11
2/9/2013,14
2/10/2013,11
2/11/2013,16
2/12/2013,11
2/13/2013,14
2/14/2013,10
2/15/2013,11
2/16/2013,7
2/17/2013,11
2/18/2013,10
2/19/2013,10
2/20/2013,7
2/21/2013,13
2/22/2013,12
2/23/2013,15
2/24/2013,11
2/25/2013,7
2/26/2013,9
2/27/2013,9
2/28/2013,10
3/1/2013,15
3/2/2013,13
3/3/2013,20
3/4/2013,14
3/5/2013,13
3/6/2013,17
3/7/2013,11
3/8/2013,15
3/9/2013,16
3/10/2013,11
3/11/2013,18
3/12/2013,14
3/13/2013,13
3/14/2013,10
3/15/2013,14
3/16/2013,10
3/17/2013,22
3/18/2013,11
3/19/2013,19
3/20/2013,14
3/21/2013,17
3/22/2013,21
3/23/2013,21
3/24/2013,19
3/25/2013,13
3/26/2013,16
3/27/2013,11
3/28/2013,13
3/29/2013,17
3/30/2013,19
3/31/2013,20
4/1/2013,11
4/2/2013,19
4/3/2013,24
4/4/2013,18
4/5/2013,19
4/6/2013,23
4/7/2013,17
4/8/2013,19
4/9/2013,13
4/10/2013,19
4/11/2013,16
4/12/2013,18
4/13/2013,17
4/14/2013,26
4/15/2013,14
4/16/2013,9
4/17/2013,17
4/18/2013,21
4/19/2013,22
4/20/2013,22
4/21/2013,20
4/22/2013,13
4/23/2013,11
4/24/2013,13
4/25/2013,14
4/26/2013,20
4/27/2013,22
4/28/2013,19
4/29/2013,11
4/30/2013,15
5/1/2013,16
5/2/2013,23
5/3/2013,22
5/4/2013,20
5/5/2013,14
5/6/2013,14
5/7/2013,15
5/8/2013,14
5/9/2013,11
5/10/2013,16
5/11/2013,19
5/12/2013,13
5/13/2013,9
5/14/2013,13
5/15/2013,16
5/16/2013,15
5/17/2013,16
5/18/2013,20
5/19/2013,19
5/20/2013,14
5/21/2013,24
5/22/2013,23
5/23/2013,14
5/24/2013,24
5/25/2013,25
5/26/2013,27
5/27/2013,7
5/28/2013,12
5/29/2013,10
5/30/2013,19
5/31/2013,27
6/1/2013,26
6/2/2013,22
6/3/2013,12
6/4/2013,15
6/5/2013,24
6/6/2013,9
6/7/2013,21
6/8/2013,20
6/9/2013,38
6/10/2013,20
6/11/2013,18
6/12/2013,22
6/13/2013,21
6/14/2013,22
6/15/2013,26
6/16/2013,23
6/17/2013,13
6/18/2013,21
6/19/2013,18
6/20/2013,24
6/21/2013,19
6/22/2013,23
6/23/2013,24
6/24/2013,17
6/25/2013,21
6/26/2013,21
6/27/2013,26
6/28/2013,17
6/29/2013,20
6/30/2013,24
7/1/2013,23
7/2/2013,17
7/3/2013,12
7/4/2013,24
7/5/2013,17
7/6/2013,16
7/7/2013,34
7/8/2013,20
7/9/2013,23
7/10/2013,14
7/11/2013,25
7/12/2013,29
7/13/2013,22
7/14/2013,29
7/15/2013,18
7/16/2013,12
7/17/2013,16
7/18/2013,21
7/19/2013,25
7/20/2013,25
7/21/2013,26
7/22/2013,18
7/23/2013,17
7/24/2013,21
7/25/2013,21
7/26/2013,31
7/27/2013,19
7/28/2013,25
7/29/2013,8
7/30/2013,26
7/31/2013,27
8/1/2013,21
8/2/2013,19
8/3/2013,24
8/4/2013,26
8/5/2013,17
8/6/2013,10
8/7/2013,25
8/8/2013,20
8/9/2013,19
8/10/2013,22
8/11/2013,25
8/12/2013,10
8/13/2013,11
8/14/2013,19
8/15/2013,22
8/16/2013,15
8/17/2013,29
8/18/2013,27
8/19/2013,11
8/20/2013,15
8/21/2013,20
8/22/2013,20
8/23/2013,19
8/24/2013,19
8/25/2013,23
8/26/2013,11
8/27/2013,16
8/28/2013,20
8/29/2013,14
8/30/2013,20
8/31/2013,25
9/1/2013,25
9/2/2013,10
9/3/2013,16
9/4/2013,10
9/5/2013,16
9/6/2013,20
9/7/2013,20
9/8/2013,19
9/9/2013,15
9/10/2013,17
9/11/2013,26
9/12/2013,14
9/13/2013,16
9/14/2013,27
9/15/2013,14
9/16/2013,16
9/17/2013,20
9/18/2013,18
9/19/2013,16
9/20/2013,11
9/21/2013,13
9/22/2013,16
9/23/2013,18
9/24/2013,14
9/25/2013,17
9/26/2013,20
9/27/2013,22
9/28/2013,13
9/29/2013,20
9/30/2013,20
10/1/2013,12
10/2/2013,11
10/3/2013,14
10/4/2013,14
10/5/2013,14
10/6/2013,20
10/7/2013,13
10/8/2013,13
10/9/2013,14
10/10/2013,20
10/11/2013,17
10/12/2013,17
10/13/2013,20
10/14/2013,15
10/15/2013,15
10/16/2013,15
10/17/2013,10
10/18/2013,10
10/19/2013,18
10/20/2013,25
10/21/2013,13
10/22/2013,11
10/23/2013,16
10/24/2013,17
10/25/2013,18
10/26/2013,19
10/27/2013,14
10/28/2013,11
10/29/2013,17
10/30/2013,20
10/31/2013,21
11/1/2013,20
11/2/2013,24
11/3/2013,19
11/4/2013,12
11/5/2013,20
11/6/2013,16
11/7/2013,17
11/8/2013,22
11/9/2013,18
11/10/2013,23
11/11/2013,16
11/12/2013,20
11/13/2013,20
11/14/2013,9
11/15/2013,18
11/16/2013,13
11/17/2013,17
11/18/2013,17
11/19/2013,18
11/20/2013,17
11/21/2013,16
11/22/2013,17
11/23/2013,31
11/24/2013,20
11/25/2013,16
11/26/2013,25
11/27/2013,25
11/28/2013,17
11/29/2013,19
11/30/2013,30
12/1/2013,16
12/2/2013,8
12/3/2013,21
12/4/2013,6
12/5/2013,13
12/6/2013,15
12/7/2013,17
12/8/2013,17
12/9/2013,8
12/10/2013,14
12/11/2013,7
12/12/2013,5
12/13/2013,13
12/14/2013,16
12/15/2013,15
12/16/2013,15
12/17/2013,8
12/18/2013,18
12/19/2013,7
12/20/2013,13
12/21/2013,11
12/22/2013,9
12/23/2013,8
12/24/2013,17
12/25/2013,6
12/26/2013,16
12/27/2013,18
12/28/2013,17
12/29/2013,14
12/30/2013,5
12/31/2013,15
1/1/2014,9
1/2/2014,14
1/3/2014,11
1/4/2014,20
1/5/2014,17
1/6/2014,14
1/7/2014,11
1/8/2014,12
1/9/2014,17
1/10/2014,12
1/11/2014,17
1/12/2014,12
1/13/2014,12
1/14/2014,17
1/15/2014,17
1/16/2014,15
1/17/2014,18
1/18/2014,15
1/19/2014,12
1/20/2014,6
1/21/2014,7
1/22/2014,21
1/23/2014,18
1/24/2014,18
1/25/2014,21
1/26/2014,16
1/27/2014,8
1/28/2014,6
1/29/2014,13
1/30/2014,11
1/31/2014,18
2/1/2014,13
2/2/2014,16
2/3/2014,10
2/4/2014,9
2/5/2014,21
2/6/2014,17
2/7/2014,15
2/8/2014,15
2/9/2014,18
2/10/2014,10
2/11/2014,10
2/12/2014,9
2/13/2014,22
2/14/2014,20
2/15/2014,20
2/16/2014,13
2/17/2014,11
2/18/2014,11
2/19/2014,16
2/20/2014,19
2/21/2014,16
2/22/2014,17
2/23/2014,13
2/24/2014,7
2/25/2014,14
2/26/2014,17
2/27/2014,10
2/28/2014,16
3/1/2014,20
3/2/2014,15
3/3/2014,12
3/4/2014,11
3/5/2014,18
3/6/2014,19
3/7/2014,21
3/8/2014,14
3/9/2014,21
3/10/2014,13
3/11/2014,14
3/12/2014,24
3/13/2014,17
3/14/2014,16
3/15/2014,22
3/16/2014,31
3/17/2014,19
3/18/2014,17
3/19/2014,24
3/20/2014,21
3/21/2014,18
3/22/2014,20
3/23/2014,25
3/24/2014,4
3/25/2014,15
3/26/2014,17
3/27/2014,17
3/28/2014,16
3/29/2014,18
3/30/2014,15
3/31/2014,15
4/1/2014,19
4/2/2014,11
4/3/2014,16
4/4/2014,17
4/5/2014,21
4/6/2014,26
4/7/2014,19
4/8/2014,19
4/9/2014,20
4/10/2014,18
4/11/2014,23
4/12/2014,19
4/13/2014,22
4/14/2014,20
4/15/2014,22
4/16/2014,20
4/17/2014,18
4/18/2014,20
4/19/2014,22
4/20/2014,22
4/21/2014,17
4/22/2014,12
4/23/2014,16
4/24/2014,25
4/25/2014,22
4/26/2014,21
4/27/2014,20
4/28/2014,15
4/29/2014,18
4/30/2014,13
5/1/2014,22
5/2/2014,19
5/3/2014,22
5/4/2014,23
5/5/2014,21
5/6/2014,19
5/7/2014,21
5/8/2014,15
5/9/2014,18
5/10/2014,16
5/11/2014,27
5/12/2014,16
5/13/2014,22
5/14/2014,21
5/15/2014,22
5/16/2014,23
5/17/2014,18
5/18/2014,36
5/19/2014,12
5/20/2014,23
5/21/2014,16
5/22/2014,25
5/23/2014,28
5/24/2014,25
5/25/2014,20
5/26/2014,15
5/27/2014,13
5/28/2014,13
5/29/2014,20
5/30/2014,29
5/31/2014,31
6/1/2014,24
6/2/2014,16
6/3/2014,23
6/4/2014,20
6/5/2014,24
6/6/2014,23
6/7/2014,27
6/8/2014,29
6/9/2014,18
6/10/2014,14
6/11/2014,22
6/12/2014,22
6/13/2014,25
6/14/2014,29
6/15/2014,33
6/16/2014,25
6/17/2014,32
6/18/2014,20
6/19/2014,22
6/20/2014,19
6/21/2014,26
6/22/2014,37
6/23/2014,19
6/24/2014,24
6/25/2014,21
6/26/2014,18
6/27/2014,29
6/28/2014,34
6/29/2014,19
6/30/2014,16
7/1/2014,16
7/2/2014,24
7/3/2014,25
7/4/2014,28
7/5/2014,25
7/6/2014,34
7/7/2014,16
7/8/2014,25
7/9/2014,27
7/10/2014,23
7/11/2014,25
7/12/2014,22
7/13/2014,24
7/14/2014,21
7/15/2014,24
7/16/2014,17
7/17/2014,26
7/18/2014,25
7/19/2014,31
7/20/2014,26
7/21/2014,21
7/22/2014,30
7/23/2014,19
7/24/2014,26
7/25/2014,24
7/26/2014,29
7/27/2014,35
7/28/2014,11
7/29/2014,19
7/30/2014,25
7/31/2014,23
8/1/2014,12
8/2/2014,23
8/3/2014,27
8/4/2014,20
8/5/2014,19
8/6/2014,25
8/7/2014,21
8/8/2014,27
8/9/2014,27
8/10/2014,22
8/11/2014,22
8/12/2014,20
8/13/2014,11
8/14/2014,17
8/15/2014,21
8/16/2014,20
8/17/2014,31
8/18/2014,25
8/19/2014,15
8/20/2014,21
8/21/2014,20
8/22/2014,21
8/23/2014,26
8/24/2014,26
8/25/2014,12
8/26/2014,25
8/27/2014,21
8/28/2014,19
8/29/2014,17
8/30/2014,30
8/31/2014,28
9/1/2014,16
9/2/2014,15
9/3/2014,22
9/4/2014,26
9/5/2014,27
9/6/2014,21
9/7/2014,25
9/8/2014,12
9/9/2014,22
9/10/2014,16
9/11/2014,15
9/12/2014,25
9/13/2014,17
9/14/2014,26
9/15/2014,12
9/16/2014,15
9/17/2014,17
9/18/2014,18
9/19/2014,21
9/20/2014,21
9/21/2014,20
9/22/2014,15
9/23/2014,20
9/24/2014,14
9/25/2014,17
9/26/2014,23
9/27/2014,13
9/28/2014,22
9/29/2014,18
9/30/2014,15
10/1/2014,12
10/2/2014,15
10/3/2014,24
10/4/2014,27
10/5/2014,33
10/6/2014,9
10/7/2014,10
10/8/2014,25
10/9/2014,18
10/10/2014,19
10/11/2014,28
10/12/2014,29
10/13/2014,6
10/14/2014,20
10/15/2014,21
10/16/2014,17
10/17/2014,18
10/18/2014,22
10/19/2014,13
10/20/2014,8
10/21/2014,19
10/22/2014,14
10/23/2014,18
10/24/2014,17
10/25/2014,21
10/26/2014,22
10/27/2014,15
10/28/2014,12
10/29/2014,11
10/30/2014,12
10/31/2014,20
11/1/2014,17
11/2/2014,33
11/3/2014,16
11/4/2014,16
11/5/2014,15
11/6/2014,22
11/7/2014,22
11/8/2014,12
11/9/2014,28
11/10/2014,16
11/11/2014,12
11/12/2014,18
11/13/2014,18
11/14/2014,25
11/15/2014,24
11/16/2014,18
11/17/2014,17
11/18/2014,18
11/19/2014,19
11/20/2014,17
11/21/2014,28
11/22/2014,20
11/23/2014,29
11/24/2014,18
11/25/2014,19
11/26/2014,23
11/27/2014,23
11/28/2014,24
11/29/2014,28
11/30/2014,24
12/1/2014,10
12/2/2014,17
12/3/2014,9
12/4/2014,10
12/5/2014,14
12/6/2014,16
12/7/2014,11
12/8/2014,13
12/9/2014,13
12/10/2014,14
12/11/2014,12
12/12/2014,10
12/13/2014,16
12/14/2014,13
12/15/2014,14
12/16/2014,11
12/17/2014,15
12/18/2014,10
12/19/2014,11
12/20/2014,19
12/21/2014,18
12/22/2014,8
12/23/2014,13
12/24/2014,16
12/25/2014,20
12/26/2014,12
12/27/2014,15
12/28/2014,17
12/29/2014,9
12/30/2014,11
12/31/2014,12
1/1/2015,11
1/2/2015,19
1/3/2015,16
1/4/2015,14
1/5/2015,14
1/6/2015,9
1/7/2015,13
1/8/2015,18
1/9/2015,18
1/10/2015,17
1/11/2015,19
1/12/2015,9
1/13/2015,9
1/14/2015,15
1/15/2015,10
1/16/2015,15
1/17/2015,16
1/18/2015,15
1/19/2015,12
1/20/2015,12
1/21/2015,10
1/22/2015,8
1/23/2015,14
1/24/2015,20
1/25/2015,19
1/26/2015,12
1/27/2015,13
1/28/2015,13
1/29/2015,7
1/30/2015,12
1/31/2015,19
2/1/2015,17
2/2/2015,6
2/3/2015,10
2/4/2015,8
2/5/2015,18
2/6/2015,13
2/7/2015,13
2/8/2015,18
2/9/2015,12
2/10/2015,15
2/11/2015,19
2/12/2015,15
2/13/2015,13
2/14/2015,11
2/15/2015,18
2/16/2015,14
2/17/2015,16
2/18/2015,16
2/19/2015,11
2/20/2015,10
2/21/2015,19
2/22/2015,24
2/23/2015,9
2/24/2015,8
2/25/2015,13
2/26/2015,18
2/27/2015,17
2/28/2015,18
3/1/2015,18
3/2/2015,17
3/3/2015,14
3/4/2015,19
3/5/2015,10
3/6/2015,17
3/7/2015,16
3/8/2015,13
3/9/2015,13
3/10/2015,23
3/11/2015,21
3/12/2015,24
3/13/2015,25
3/14/2015,15
3/15/2015,20
3/16/2015,13
3/17/2015,15
3/18/2015,16
3/19/2015,17
3/20/2015,31
3/21/2015,25
3/22/2015,23
3/23/2015,16
3/24/2015,18
3/25/2015,13
3/26/2015,10
3/27/2015,16
3/28/2015,12
3/29/2015,25
3/30/2015,19
3/31/2015,18
4/1/2015,24
4/2/2015,20
4/3/2015,27
4/4/2015,26
4/5/2015,20
4/6/2015,20
4/7/2015,19
4/8/2015,17
4/9/2015,20
4/10/2015,24
4/11/2015,17
4/12/2015,21
4/13/2015,14
4/14/2015,26
4/15/2015,26
4/16/2015,20
4/17/2015,22
4/18/2015,23
4/19/2015,24
4/20/2015,17
4/21/2015,25
4/22/2015,19
4/23/2015,17
4/24/2015,11
4/25/2015,29
4/26/2015,30
4/27/2015,22
4/28/2015,27
4/29/2015,18
4/30/2015,27
5/1/2015,20
5/2/2015,22
5/3/2015,33
5/4/2015,14
5/5/2015,25
5/6/2015,13
5/7/2015,23
5/8/2015,22
5/9/2015,29
5/10/2015,29
5/11/2015,24
5/12/2015,21
5/13/2015,14
5/14/2015,17
5/15/2015,27
5/16/2015,31
5/17/2015,27
5/18/2015,11
5/19/2015,28
5/20/2015,17
5/21/2015,27
5/22/2015,22
5/23/2015,24
5/24/2015,27
5/25/2015,19
5/26/2015,19
5/27/2015,22
5/28/2015,23
5/29/2015,18
5/30/2015,36
5/31/2015,27
6/1/2015,23
6/2/2015,15
6/3/2015,23
6/4/2015,25
6/5/2015,18
6/6/2015,43
6/7/2015,22
6/8/2015,18
6/9/2015,19
6/10/2015,22
6/11/2015,29
6/12/2015,23
6/13/2015,28
6/14/2015,30
6/15/2015,19
6/16/2015,17
6/17/2015,28
6/18/2015,29
6/19/2015,20
6/20/2015,30
6/21/2015,34
6/22/2015,14
6/23/2015,27
6/24/2015,26
6/25/2015,21
6/26/2015,30
6/27/2015,31
6/28/2015,35
6/29/2015,26
6/30/2015,23
7/1/2015,21
7/2/2015,26
7/3/2015,30
7/4/2015,40
7/5/2015,30
7/6/2015,20
7/7/2015,24
7/8/2015,21
7/9/2015,33
7/10/2015,26
7/11/2015,30
7/12/2015,19
7/13/2015,22
7/14/2015,19
