date,sales
7/15/2015,20
7/16/2015,41
7/17/2015,31
7/18/2015,38
7/19/2015,38
7/20/2015,22
7/21/2015,29
7/22/2015,27
7/23/2015,17
7/24/2015,29
7/25/2015,34
7/26/2015,38
7/27/2015,13
7/28/2015,27
7/29/2015,26
7/30/2015,22
7/31/2015,29
8/1/2015,28
8/2/2015,19
8/3/2015,20
8/4/2015,26
8/5/2015,20
8/6/2015,25
8/7/2015,22
8/8/2015,19
8/9/2015,33
8/10/2015,14
8/11/2015,16
8/12/2015,24
8/13/2015,25
8/14/2015,23
8/15/2015,26
8/16/2015,27
8/17/2015,14
8/18/2015,18
8/19/2015,24
8/20/2015,17
8/21/2015,29
8/22/2015,22
8/23/2015,19
8/24/2015,19
8/25/2015,22
8/26/2015,26
8/27/2015,23
8/28/2015,25
8/29/2015,36
8/30/2015,25
8/31/2015,20
9/1/2015,27
9/2/2015,22
9/3/2015,16
9/4/2015,16
9/5/2015,34
9/6/2015,25
9/7/2015,17
9/8/2015,25
9/9/2015,13
9/10/2015,25
9/11/2015,28
9/12/2015,24
9/13/2015,28
9/14/2015,22
9/15/2015,21
9/16/2015,23
9/17/2015,19
9/18/2015,16
9/19/2015,40
9/20/2015,28
9/21/2015,18
9/22/2015,20
9/23/2015,22
9/24/2015,28
9/25/2015,20
9/26/2015,20
9/27/2015,32
9/28/2015,15
9/29/2015,19
9/30/2015,15
10/1/2015,25
10/2/2015,12
10/3/2015,20
10/4/2015,22
10/5/2015,13
10/6/2015,14
10/7/2015,19
10/8/2015,21
10/9/2015,27
10/10/2015,22
10/11/2015,25
10/12/2015,12
10/13/2015,24
10/14/2015,26
10/15/2015,19
10/16/2015,23
10/17/2015,22
10/18/2015,25
10/19/2015,19
10/20/2015,21
10/21/2015,24
10/22/2015,17
10/23/2015,28
10/24/2015,24
10/25/2015,33
10/26/2015,18
10/27/2015,18
10/28/2015,8
10/29/2015,17
10/30/2015,19
10/31/2015,30
11/1/2015,26
11/2/2015,16
11/3/2015,25
11/4/2015,26
11/5/2015,21
11/6/2015,24
11/7/2015,25
11/8/2015,25
11/9/2015,16
11/10/2015,15
11/11/2015,24
11/12/2015,19
11/13/2015,21
11/14/2015,37
11/15/2015,31
11/16/2015,14
11/17/2015,19
11/18/2015,30
11/19/2015,26
11/20/2015,27
11/21/2015,22
11/22/2015,30
11/23/2015,21
11/24/2015,20
11/25/2015,16
11/26/2015,19
11/27/2015,33
11/28/2015,24
11/29/2015,27
11/30/2015,5
12/1/2015,13
12/2/2015,12
12/3/2015,14
12/4/2015,29
12/5/2015,12
12/6/2015,14
12/7/2015,14
12/8/2015,13
12/9/2015,18
12/10/2015,14
12/11/2015,21
12/12/2015,23
12/13/2015,14
12/14/2015,10
12/15/2015,12
12/16/2015,19
12/17/2015,9
12/18/2015,19
12/19/2015,21
12/20/2015,17
12/21/2015,10
12/22/2015,13
12/23/2015,14
12/24/2015,7
12/25/2015,19
12/26/2015,13
12/27/2015,17
12/28/2015,4
12/29/2015,12
12/30/2015,15
12/31/2015,18
1/1/2016,21
1/2/2016,13
1/3/2016,12
1/4/2016,12
1/5/2016,12
1/6/2016,16
1/7/2016,12
1/8/2016,12
1/9/2016,16
1/10/2016,26
1/11/2016,7
1/12/2016,13
1/13/2016,9
1/14/2016,18
1/15/2016,13
1/16/2016,8
1/17/2016,13
1/18/2016,7
1/19/2016,17
1/20/2016,13
1/21/2016,12
1/22/2016,15
1/23/2016,23
1/24/2016,21
1/25/2016,15
1/26/2016,18
1/27/2016,14
1/28/2016,17
1/29/2016,16
1/30/2016,14
1/31/2016,14
2/1/2016,16
2/2/2016,16
2/3/2016,19
2/4/2016,9
2/5/2016,14
2/6/2016,14
2/7/2016,18
2/8/2016,12
2/9/2016,14
2/10/2016,16
2/11/2016,14
2/12/2016,15
2/13/2016,10
2/14/2016,23
2/15/2016,8
2/16/2016,19
2/17/2016,29
2/18/2016,17
2/19/2016,18
2/20/2016,18
2/21/2016,21
2/22/2016,16
2/23/2016,16
2/24/2016,10
2/25/2016,12
2/26/2016,9
2/27/2016,21
2/28/2016,12
2/29/2016,14
3/1/2016,16
3/2/2016,17
3/3/2016,20
3/4/2016,17
3/5/2016,17
3/6/2016,22
3/7/2016,17
3/8/2016,9
3/9/2016,18
3/10/2016,15
3/11/2016,22
3/12/2016,17
3/13/2016,23
3/14/2016,13
3/15/2016,11
3/16/2016,23
3/17/2016,19
3/18/2016,21
3/19/2016,25
3/20/2016,25
3/21/2016,22
3/22/2016,17
3/23/2016,19
3/24/2016,18
3/25/2016,27
3/26/2016,22
3/27/2016,28
3/28/2016,16
3/29/2016,22
3/30/2016,14
3/31/2016,17
4/1/2016,32
4/2/2016,24
4/3/2016,29
4/4/2016,18
4/5/2016,20
4/6/2016,25
4/7/2016,18
4/8/2016,23
4/9/2016,22
4/10/2016,36
4/11/2016,18
4/12/2016,30
4/13/2016,24
4/14/2016,22
4/15/2016,23
4/16/2016,22
4/17/2016,18
4/18/2016,23
4/19/2016,23
4/20/2016,18
4/21/2016,20
4/22/2016,22
4/23/2016,23
4/24/2016,26
4/25/2016,15
4/26/2016,20
4/27/2016,19
4/28/2016,21
4/29/2016,30
4/30/2016,30
5/1/2016,30
5/2/2016,18
5/3/2016,29
5/4/2016,24
5/5/2016,17
5/6/2016,23
5/7/2016,23
5/8/2016,26
5/9/2016,18
5/10/2016,29
5/11/2016,21
5/12/2016,19
5/13/2016,26
5/14/2016,30
5/15/2016,39
5/16/2016,13
5/17/2016,25
5/18/2016,33
5/19/2016,26
5/20/2016,28
5/21/2016,35
5/22/2016,32
5/23/2016,22
5/24/2016,26
5/25/2016,29
5/26/2016,17
5/27/2016,26
5/28/2016,33
5/29/2016,29
5/30/2016,18
5/31/2016,18
6/1/2016,24
6/2/2016,25
6/3/2016,38
6/4/2016,28
6/5/2016,35
6/6/2016,23
6/7/2016,22
6/8/2016,22
6/9/2016,24
6/10/2016,34
6/11/2016,31
6/12/2016,22
6/13/2016,22
6/14/2016,25
6/15/2016,22
6/16/2016,30
6/17/2016,22
6/18/2016,27
6/19/2016,28
6/20/2016,15
6/21/2016,25
6/22/2016,25
6/23/2016,23
6/24/2016,31
6/25/2016,31
6/26/2016,32
6/27/2016,26
6/28/2016,28
6/29/2016,25
6/30/2016,25
7/1/2016,42
7/2/2016,32
7/3/2016,35
7/4/2016,18
7/5/2016,31
7/6/2016,22
7/7/2016,33
7/8/2016,34
7/9/2016,35
7/10/2016,28
7/11/2016,18
7/12/2016,27
7/13/2016,30
7/14/2016,22
7/15/2016,33
7/16/2016,34
7/17/2016,37
7/18/2016,24
7/19/2016,25
7/20/2016,22
7/21/2016,34
7/22/2016,26
7/23/2016,34
7/24/2016,25
7/25/2016,21
7/26/2016,24
7/27/2016,28
7/28/2016,30
7/29/2016,30
7/30/2016,38
7/31/2016,31
8/1/2016,21
8/2/2016,22
8/3/2016,28
8/4/2016,34
8/5/2016,24
8/6/2016,20
8/7/2016,31
8/8/2016,11
8/9/2016,26
8/10/2016,21
8/11/2016,23
8/12/2016,16
8/13/2016,27
8/14/2016,36
8/15/2016,24
8/16/2016,15
8/17/2016,25
8/18/2016,26
8/19/2016,29
8/20/2016,30
8/21/2016,22
8/22/2016,15
8/23/2016,24
8/24/2016,32
8/25/2016,17
8/26/2016,25
8/27/2016,24
8/28/2016,34
8/29/2016,14
8/30/2016,14
8/31/2016,17
9/1/2016,18
9/2/2016,20
9/3/2016,31
9/4/2016,25
9/5/2016,32
9/6/2016,28
9/7/2016,18
9/8/2016,28
9/9/2016,26
9/10/2016,25
9/11/2016,24
9/12/2016,24
9/13/2016,24
9/14/2016,19
9/15/2016,20
9/16/2016,19
9/17/2016,19
9/18/2016,27
9/19/2016,19
9/20/2016,23
9/21/2016,25
9/22/2016,25
9/23/2016,24
9/24/2016,26
9/25/2016,27
9/26/2016,17
9/27/2016,18
9/28/2016,27
9/29/2016,28
9/30/2016,23
10/1/2016,25
10/2/2016,26
10/3/2016,20
10/4/2016,28
10/5/2016,17
10/6/2016,22
10/7/2016,19
10/8/2016,24
10/9/2016,29
10/10/2016,18
10/11/2016,18
10/12/2016,16
10/13/2016,16
10/14/2016,32
10/15/2016,32
10/16/2016,26
10/17/2016,20
10/18/2016,21
10/19/2016,20
10/20/2016,30
10/21/2016,25
10/22/2016,26
10/23/2016,21
10/24/2016,16
10/25/2016,13
10/26/2016,16
10/27/2016,25
10/28/2016,18
10/29/2016,23
10/30/2016,33
10/31/2016,24
11/1/2016,22
11/2/2016,23
11/3/2016,23
11/4/2016,22
11/5/2016,29
11/6/2016,18
11/7/2016,17
11/8/2016,19
11/9/2016,22
11/10/2016,18
11/11/2016,26
11/12/2016,26
11/13/2016,36
11/14/2016,17
11/15/2016,22
11/16/2016,20
11/17/2016,19
11/18/2016,21
11/19/2016,36
11/20/2016,22
11/21/2016,14
11/22/2016,18
11/23/2016,20
11/24/2016,18
11/25/2016,26
11/26/2016,20
11/27/2016,20
11/28/2016,22
11/29/2016,27
11/30/2016,19
12/1/2016,13
12/2/2016,11
12/3/2016,19
12/4/2016,24
12/5/2016,13
12/6/2016,10
12/7/2016,17
12/8/2016,15
12/9/2016,7
12/10/2016,12
12/11/2016,20
12/12/2016,12
12/13/2016,23
12/14/2016,12
12/15/2016,10
12/16/2016,15
12/17/2016,19
12/18/2016,22
12/19/2016,17
12/20/2016,18
12/21/2016,12
12/22/2016,20
12/23/2016,21
12/24/2016,13
12/25/2016,20
12/26/2016,16
12/27/2016,10
12/28/2016,16
12/29/2016,21
12/30/2016,24
12/31/2016,14
1/1/2017,19
1/2/2017,15
1/3/2017,10
1/4/2017,16
1/5/2017,14
1/6/2017,24
1/7/2017,14
1/8/2017,20
1/9/2017,18
1/10/2017,11
1/11/2017,14
1/12/2017,17
1/13/2017,7
1/14/2017,16
1/15/2017,29
1/16/2017,15
1/17/2017,14
1/18/2017,10
1/19/2017,16
1/20/2017,22
1/21/2017,13
1/22/2017,21
1/23/2017,9
1/24/2017,18
1/25/2017,14
1/26/2017,13
1/27/2017,10
1/28/2017,16
1/29/2017,24
1/30/2017,9
1/31/2017,17
2/1/2017,15
2/2/2017,17
2/3/2017,24
2/4/2017,25
2/5/2017,25
2/6/2017,16
2/7/2017,12
2/8/2017,20
2/9/2017,16
2/10/2017,16
2/11/2017,18
2/12/2017,19
2/13/2017,11
2/14/2017,15
2/15/2017,22
2/16/2017,11
2/17/2017,17
2/18/2017,22
2/19/2017,18
2/20/2017,5
2/21/2017,14
2/22/2017,12
2/23/2017,26
2/24/2017,15
2/25/2017,16
2/26/2017,28
2/27/2017,12
2/28/2017,20
3/1/2017,16
3/2/2017,23
3/3/2017,22
3/4/2017,13
3/5/2017,25
3/6/2017,11
3/7/2017,14
3/8/2017,17
3/9/2017,16
3/10/2017,18
3/11/2017,15
3/12/2017,21
3/13/2017,14
3/14/2017,24
3/15/2017,22
3/16/2017,23
3/17/2017,17
3/18/2017,20
3/19/2017,25
3/20/2017,14
3/21/2017,13
3/22/2017,23
3/23/2017,18
3/24/2017,19
3/25/2017,20
3/26/2017,17
3/27/2017,21
3/28/2017,13
3/29/2017,12
3/30/2017,22
3/31/2017,13
4/1/2017,26
4/2/2017,21
4/3/2017,17
4/4/2017,22
4/5/2017,21
4/6/2017,25
4/7/2017,25
4/8/2017,23
4/9/2017,20
4/10/2017,19
4/11/2017,21
4/12/2017,17
4/13/2017,25
4/14/2017,15
4/15/2017,20
4/16/2017,32
4/17/2017,13
4/18/2017,21
4/19/2017,19
4/20/2017,26
4/21/2017,27
4/22/2017,19
4/23/2017,22
4/24/2017,17
4/25/2017,26
4/26/2017,22
4/27/2017,26
4/28/2017,25
4/29/2017,32
4/30/2017,33
5/1/2017,15
5/2/2017,21
5/3/2017,29
5/4/2017,19
5/5/2017,28
5/6/2017,34
5/7/2017,31
5/8/2017,24
5/9/2017,32
5/10/2017,17
5/11/2017,18
5/12/2017,26
5/13/2017,25
5/14/2017,32
5/15/2017,17
5/16/2017,24
5/17/2017,16
5/18/2017,32
5/19/2017,35
5/20/2017,34
5/21/2017,25
5/22/2017,20
5/23/2017,15
5/24/2017,30
5/25/2017,22
5/26/2017,24
5/27/2017,35
5/28/2017,33
5/29/2017,23
5/30/2017,17
5/31/2017,20
6/1/2017,29
6/2/2017,25
6/3/2017,36
6/4/2017,27
6/5/2017,22
6/6/2017,22
6/7/2017,29
6/8/2017,26
6/9/2017,16
6/10/2017,41
6/11/2017,28
6/12/2017,23
6/13/2017,26
6/14/2017,32
6/15/2017,30
6/16/2017,26
6/17/2017,31
6/18/2017,38
6/19/2017,30
6/20/2017,22
6/21/2017,26
6/22/2017,24
6/23/2017,26
6/24/2017,30
6/25/2017,26
6/26/2017,21
6/27/2017,32
6/28/2017,50
6/29/2017,28
6/30/2017,28
7/1/2017,31
7/2/2017,38
7/3/2017,18
7/4/2017,23
7/5/2017,23
7/6/2017,31
7/7/2017,32
7/8/2017,27
7/9/2017,32
7/10/2017,16
7/11/2017,23
7/12/2017,29
7/13/2017,22
7/14/2017,38
7/15/2017,40
7/16/2017,36
7/17/2017,20
7/18/2017,26
7/19/2017,24
7/20/2017,37
7/21/2017,27
7/22/2017,35
7/23/2017,32
7/24/2017,27
7/25/2017,20
7/26/2017,28
7/27/2017,35
7/28/2017,25
7/29/2017,30
7/30/2017,26
7/31/2017,22
8/1/2017,18
8/2/2017,19
8/3/2017,25
8/4/2017,26
8/5/2017,35
8/6/2017,29
8/7/2017,20
8/8/2017,28
8/9/2017,28
8/10/2017,31
8/11/2017,25
8/12/2017,32
8/13/2017,32
8/14/2017,26
8/15/2017,18
8/16/2017,24
8/17/2017,21
8/18/2017,35
8/19/2017,29
8/20/2017,27
8/21/2017,19
8/22/2017,28
8/23/2017,26
8/24/2017,15
8/25/2017,30
8/26/2017,38
8/27/2017,26
8/28/2017,15
8/29/2017,21
8/30/2017,22
8/31/2017,26
9/1/2017,38
9/2/2017,26
9/3/2017,23
9/4/2017,12
9/5/2017,26
9/6/2017,24
9/7/2017,29
9/8/2017,28
9/9/2017,28
9/10/2017,30
9/11/2017,16
9/12/2017,20
9/13/2017,13
9/14/2017,26
9/15/2017,28
9/16/2017,27
9/17/2017,30
9/18/2017,22
9/19/2017,21
9/20/2017,20
9/21/2017,20
9/22/2017,28
9/23/2017,37
9/24/2017,24
9/25/2017,14
9/26/2017,18
9/27/2017,27
9/28/2017,23
9/29/2017,28
9/30/2017,30
10/1/2017,21
10/2/2017,12
10/3/2017,18
10/4/2017,15
10/5/2017,20
10/6/2017,19
10/7/2017,22
10/8/2017,19
10/9/2017,9
10/10/2017,23
10/11/2017,14
10/12/2017,24
10/13/2017,23
10/14/2017,26
10/15/2017,28
10/16/2017,19
10/17/2017,17
10/18/2017,15
10/19/2017,26
10/20/2017,22
10/21/2017,26
10/22/2017,32
10/23/2017,20
10/24/2017,23
10/25/2017,22
10/26/2017,28
10/27/2017,20
10/28/2017,22
10/29/2017,29
10/30/2017,22
10/31/2017,24
11/1/2017,16
11/2/2017,21
11/3/2017,18
11/4/2017,34
11/5/2017,23
11/6/2017,17
11/7/2017,23
11/8/2017,14
11/9/2017,21
11/10/2017,19
11/11/2017,24
11/12/2017,27
11/13/2017,22
11/14/2017,16
11/15/2017,19
11/16/2017,22
11/17/2017,25
11/18/2017,31
11/19/2017,32
11/20/2017,21
11/21/2017,29
11/22/2017,27
11/23/2017,25
11/24/2017,22
11/25/2017,29
11/26/2017,24
11/27/2017,10
11/28/2017,14
11/29/2017,28
11/30/2017,15
12/1/2017,19
12/2/2017,16
12/3/2017,31
12/4/2017,7
12/5/2017,20
12/6/2017,17
12/7/2017,18
12/8/2017,17
12/9/2017,27
12/10/2017,20
12/11/2017,20
12/12/2017,13
12/13/2017,17
12/14/2017,14
12/15/2017,16
12/16/2017,15
12/17/2017,22
12/18/2017,19
12/19/2017,7
12/20/2017,16
12/21/2017,12
12/22/2017,6
12/23/2017,18
12/24/2017,19
12/25/2017,13
12/26/2017,16
12/27/2017,14
12/28/2017,19
12/29/2017,15
12/30/2017,27
12/31/2017,23
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
